interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2020-02-27T00:00:00-06:00,2020-02-27 06:00:00+00:00,2020-02-28T00:00:00-06:00,2020-02-28 06:00:00+00:00,43597.864583333333
2020-02-28T00:00:00-06:00,2020-02-28 06:00:00+00:00,2020-02-29T00:00:00-06:00,2020-02-29 06:00:00+00:00,39441.222222222222
2020-02-29T00:00:00-06:00,2020-02-29 06:00:00+00:00,2020-03-01T00:00:00-06:00,2020-03-01 06:00:00+00:00,36099.642361111111
2020-03-01T00:00:00-06:00,2020-03-01 06:00:00+00:00,2020-03-02T00:00:00-06:00,2020-03-02 06:00:00+00:00,34317.128472222222
2020-03-02T00:00:00-06:00,2020-03-02 06:00:00+00:00,2020-03-03T00:00:00-06:00,2020-03-03 06:00:00+00:00,36715.135416666667
2020-03-03T00:00:00-06:00,2020-03-03 06:00:00+00:00,2020-03-04T00:00:00-06:00,2020-03-04 06:00:00+00:00,37389.256944444444
2020-03-04T00:00:00-06:00,2020-03-04 06:00:00+00:00,2020-03-05T00:00:00-06:00,2020-03-05 06:00:00+00:00,37758.065972222222
2020-03-05T00:00:00-06:00,2020-03-05 06:00:00+00:00,2020-03-06T00:00:00-06:00,2020-03-06 06:00:00+00:00,37030.642361111111
2020-03-06T00:00:00-06:00,2020-03-06 06:00:00+00:00,2020-03-07T00:00:00-06:00,2020-03-07 06:00:00+00:00,36634.798611111111
2020-03-07T00:00:00-06:00,2020-03-07 06:00:00+00:00,2020-03-08T00:00:00-06:00,2020-03-08 06:00:00+00:00,36296.229166666667
2020-03-08T00:00:00-06:00,2020-03-08 06:00:00+00:00,2020-03-09T00:00:00-05:00,2020-03-09 05:00:00+00:00,35596.815217391304
2020-03-09T00:00:00-05:00,2020-03-09 05:00:00+00:00,2020-03-10T00:00:00-05:00,2020-03-10 05:00:00+00:00,36334.163194444444
2020-03-10T00:00:00-05:00,2020-03-10 05:00:00+00:00,2020-03-11T00:00:00-05:00,2020-03-11 05:00:00+00:00,37567.069444444444
2020-03-11T00:00:00-05:00,2020-03-11 05:00:00+00:00,2020-03-12T00:00:00-05:00,2020-03-12 05:00:00+00:00,39211.388888888889
2020-03-12T00:00:00-05:00,2020-03-12 05:00:00+00:00,2020-03-13T00:00:00-05:00,2020-03-13 05:00:00+00:00,39963.052083333333
2020-03-13T00:00:00-05:00,2020-03-13 05:00:00+00:00,2020-03-14T00:00:00-05:00,2020-03-14 05:00:00+00:00,38884.440972222222
2020-03-14T00:00:00-05:00,2020-03-14 05:00:00+00:00,2020-03-15T00:00:00-05:00,2020-03-15 05:00:00+00:00,37689.631944444444
2020-03-15T00:00:00-05:00,2020-03-15 05:00:00+00:00,2020-03-16T00:00:00-05:00,2020-03-16 05:00:00+00:00,36679.302083333333
2020-03-16T00:00:00-05:00,2020-03-16 05:00:00+00:00,2020-03-17T00:00:00-05:00,2020-03-17 05:00:00+00:00,37417.156250000000
2020-03-17T00:00:00-05:00,2020-03-17 05:00:00+00:00,2020-03-18T00:00:00-05:00,2020-03-18 05:00:00+00:00,38920.607638888889
2020-03-18T00:00:00-05:00,2020-03-18 05:00:00+00:00,2020-03-19T00:00:00-05:00,2020-03-19 05:00:00+00:00,39843.836805555556
2020-03-19T00:00:00-05:00,2020-03-19 05:00:00+00:00,2020-03-20T00:00:00-05:00,2020-03-20 05:00:00+00:00,41039.218750000000
2020-03-20T00:00:00-05:00,2020-03-20 05:00:00+00:00,2020-03-21T00:00:00-05:00,2020-03-21 05:00:00+00:00,38174.041666666667
2020-03-21T00:00:00-05:00,2020-03-21 05:00:00+00:00,2020-03-22T00:00:00-05:00,2020-03-22 05:00:00+00:00,36321.034722222222
2020-03-22T00:00:00-05:00,2020-03-22 05:00:00+00:00,2020-03-23T00:00:00-05:00,2020-03-23 05:00:00+00:00,35089.684027777778
2020-03-23T00:00:00-05:00,2020-03-23 05:00:00+00:00,2020-03-24T00:00:00-05:00,2020-03-24 05:00:00+00:00,38269.003472222222
2020-03-24T00:00:00-05:00,2020-03-24 05:00:00+00:00,2020-03-25T00:00:00-05:00,2020-03-25 05:00:00+00:00,40381.809027777778
2020-03-25T00:00:00-05:00,2020-03-25 05:00:00+00:00,2020-03-26T00:00:00-05:00,2020-03-26 05:00:00+00:00,41234.607638888889
2020-03-26T00:00:00-05:00,2020-03-26 05:00:00+00:00,2020-03-27T00:00:00-05:00,2020-03-27 05:00:00+00:00,42485.361111111111
2020-03-27T00:00:00-05:00,2020-03-27 05:00:00+00:00,2020-03-28T00:00:00-05:00,2020-03-28 05:00:00+00:00,42596.027777777778
2020-03-28T00:00:00-05:00,2020-03-28 05:00:00+00:00,2020-03-29T00:00:00-05:00,2020-03-29 05:00:00+00:00,37942.246527777778
2020-03-29T00:00:00-05:00,2020-03-29 05:00:00+00:00,2020-03-30T00:00:00-05:00,2020-03-30 05:00:00+00:00,34083.579861111111
2020-03-30T00:00:00-05:00,2020-03-30 05:00:00+00:00,2020-03-31T00:00:00-05:00,2020-03-31 05:00:00+00:00,37333.319444444444
2020-03-31T00:00:00-05:00,2020-03-31 05:00:00+00:00,2020-04-01T00:00:00-05:00,2020-04-01 05:00:00+00:00,36923.315972222222
2020-04-01T00:00:00-05:00,2020-04-01 05:00:00+00:00,2020-04-02T00:00:00-05:00,2020-04-02 05:00:00+00:00,35795.239583333333
2020-04-02T00:00:00-05:00,2020-04-02 05:00:00+00:00,2020-04-03T00:00:00-05:00,2020-04-03 05:00:00+00:00,36306.642361111111
2020-04-03T00:00:00-05:00,2020-04-03 05:00:00+00:00,2020-04-04T00:00:00-05:00,2020-04-04 05:00:00+00:00,37452.496527777778
2020-04-04T00:00:00-05:00,2020-04-04 05:00:00+00:00,2020-04-05T00:00:00-05:00,2020-04-05 05:00:00+00:00,36540.461805555556
2020-04-05T00:00:00-05:00,2020-04-05 05:00:00+00:00,2020-04-06T00:00:00-05:00,2020-04-06 05:00:00+00:00,34026.753472222222
2020-04-06T00:00:00-05:00,2020-04-06 05:00:00+00:00,2020-04-07T00:00:00-05:00,2020-04-07 05:00:00+00:00,36010.187500000000
2020-04-07T00:00:00-05:00,2020-04-07 05:00:00+00:00,2020-04-08T00:00:00-05:00,2020-04-08 05:00:00+00:00,40809.024305555556
2020-04-08T00:00:00-05:00,2020-04-08 05:00:00+00:00,2020-04-09T00:00:00-05:00,2020-04-09 05:00:00+00:00,43440.833333333333
2020-04-09T00:00:00-05:00,2020-04-09 05:00:00+00:00,2020-04-10T00:00:00-05:00,2020-04-10 05:00:00+00:00,40474.128472222222
2020-04-10T00:00:00-05:00,2020-04-10 05:00:00+00:00,2020-04-11T00:00:00-05:00,2020-04-11 05:00:00+00:00,35481.121527777778
2020-04-11T00:00:00-05:00,2020-04-11 05:00:00+00:00,2020-04-12T00:00:00-05:00,2020-04-12 05:00:00+00:00,34874.236111111111
2020-04-12T00:00:00-05:00,2020-04-12 05:00:00+00:00,2020-04-13T00:00:00-05:00,2020-04-13 05:00:00+00:00,37761.354166666667
2020-04-13T00:00:00-05:00,2020-04-13 05:00:00+00:00,2020-04-14T00:00:00-05:00,2020-04-14 05:00:00+00:00,34643.586805555556
2020-04-14T00:00:00-05:00,2020-04-14 05:00:00+00:00,2020-04-15T00:00:00-05:00,2020-04-15 05:00:00+00:00,35137.312500000000
2020-04-15T00:00:00-05:00,2020-04-15 05:00:00+00:00,2020-04-16T00:00:00-05:00,2020-04-16 05:00:00+00:00,34986.861111111111
2020-04-16T00:00:00-05:00,2020-04-16 05:00:00+00:00,2020-04-17T00:00:00-05:00,2020-04-17 05:00:00+00:00,35199.965277777778
2020-04-17T00:00:00-05:00,2020-04-17 05:00:00+00:00,2020-04-18T00:00:00-05:00,2020-04-18 05:00:00+00:00,35878.548611111111
2020-04-18T00:00:00-05:00,2020-04-18 05:00:00+00:00,2020-04-19T00:00:00-05:00,2020-04-19 05:00:00+00:00,34406.906250000000
2020-04-19T00:00:00-05:00,2020-04-19 05:00:00+00:00,2020-04-20T00:00:00-05:00,2020-04-20 05:00:00+00:00,35782.003472222222
2020-04-20T00:00:00-05:00,2020-04-20 05:00:00+00:00,2020-04-21T00:00:00-05:00,2020-04-21 05:00:00+00:00,37422.291666666667
2020-04-21T00:00:00-05:00,2020-04-21 05:00:00+00:00,2020-04-22T00:00:00-05:00,2020-04-22 05:00:00+00:00,39581.833333333333
2020-04-22T00:00:00-05:00,2020-04-22 05:00:00+00:00,2020-04-23T00:00:00-05:00,2020-04-23 05:00:00+00:00,40054.815972222222
2020-04-23T00:00:00-05:00,2020-04-23 05:00:00+00:00,2020-04-24T00:00:00-05:00,2020-04-24 05:00:00+00:00,40230.336805555556
2020-04-24T00:00:00-05:00,2020-04-24 05:00:00+00:00,2020-04-25T00:00:00-05:00,2020-04-25 05:00:00+00:00,40698.406250000000
2020-04-25T00:00:00-05:00,2020-04-25 05:00:00+00:00,2020-04-26T00:00:00-05:00,2020-04-26 05:00:00+00:00,35404.420138888889
2020-04-26T00:00:00-05:00,2020-04-26 05:00:00+00:00,2020-04-27T00:00:00-05:00,2020-04-27 05:00:00+00:00,35598.708333333333
2020-04-27T00:00:00-05:00,2020-04-27 05:00:00+00:00,2020-04-28T00:00:00-05:00,2020-04-28 05:00:00+00:00,39043.951388888889
2020-04-28T00:00:00-05:00,2020-04-28 05:00:00+00:00,2020-04-29T00:00:00-05:00,2020-04-29 05:00:00+00:00,42965.975694444444
2020-04-29T00:00:00-05:00,2020-04-29 05:00:00+00:00,2020-04-30T00:00:00-05:00,2020-04-30 05:00:00+00:00,38329.836805555556
2020-04-30T00:00:00-05:00,2020-04-30 05:00:00+00:00,2020-05-01T00:00:00-05:00,2020-05-01 05:00:00+00:00,37598.336805555556
2020-05-01T00:00:00-05:00,2020-05-01 05:00:00+00:00,2020-05-02T00:00:00-05:00,2020-05-02 05:00:00+00:00,39458.861111111111
2020-05-02T00:00:00-05:00,2020-05-02 05:00:00+00:00,2020-05-03T00:00:00-05:00,2020-05-03 05:00:00+00:00,41215.204861111111
2020-05-03T00:00:00-05:00,2020-05-03 05:00:00+00:00,2020-05-04T00:00:00-05:00,2020-05-04 05:00:00+00:00,42982.267361111111
2020-05-04T00:00:00-05:00,2020-05-04 05:00:00+00:00,2020-05-05T00:00:00-05:00,2020-05-05 05:00:00+00:00,46722.069444444444
2020-05-05T00:00:00-05:00,2020-05-05 05:00:00+00:00,2020-05-06T00:00:00-05:00,2020-05-06 05:00:00+00:00,43416.642361111111
2020-05-06T00:00:00-05:00,2020-05-06 05:00:00+00:00,2020-05-07T00:00:00-05:00,2020-05-07 05:00:00+00:00,39246.861111111111
2020-05-07T00:00:00-05:00,2020-05-07 05:00:00+00:00,2020-05-08T00:00:00-05:00,2020-05-08 05:00:00+00:00,40363.781250000000
2020-05-08T00:00:00-05:00,2020-05-08 05:00:00+00:00,2020-05-09T00:00:00-05:00,2020-05-09 05:00:00+00:00,40600.190972222222
2020-05-09T00:00:00-05:00,2020-05-09 05:00:00+00:00,2020-05-10T00:00:00-05:00,2020-05-10 05:00:00+00:00,33836.281250000000
2020-05-10T00:00:00-05:00,2020-05-10 05:00:00+00:00,2020-05-11T00:00:00-05:00,2020-05-11 05:00:00+00:00,34625.340277777778
2020-05-11T00:00:00-05:00,2020-05-11 05:00:00+00:00,2020-05-12T00:00:00-05:00,2020-05-12 05:00:00+00:00,38760.260416666667
2020-05-12T00:00:00-05:00,2020-05-12 05:00:00+00:00,2020-05-13T00:00:00-05:00,2020-05-13 05:00:00+00:00,39359.256944444444
2020-05-13T00:00:00-05:00,2020-05-13 05:00:00+00:00,2020-05-14T00:00:00-05:00,2020-05-14 05:00:00+00:00,41844.729166666667
2020-05-14T00:00:00-05:00,2020-05-14 05:00:00+00:00,2020-05-15T00:00:00-05:00,2020-05-15 05:00:00+00:00,45384.569444444444
2020-05-15T00:00:00-05:00,2020-05-15 05:00:00+00:00,2020-05-16T00:00:00-05:00,2020-05-16 05:00:00+00:00,43723.847222222222
2020-05-16T00:00:00-05:00,2020-05-16 05:00:00+00:00,2020-05-17T00:00:00-05:00,2020-05-17 05:00:00+00:00,36107.579861111111
2020-05-17T00:00:00-05:00,2020-05-17 05:00:00+00:00,2020-05-18T00:00:00-05:00,2020-05-18 05:00:00+00:00,38456.340277777778
2020-05-18T00:00:00-05:00,2020-05-18 05:00:00+00:00,2020-05-19T00:00:00-05:00,2020-05-19 05:00:00+00:00,44970.256944444444
2020-05-19T00:00:00-05:00,2020-05-19 05:00:00+00:00,2020-05-20T00:00:00-05:00,2020-05-20 05:00:00+00:00,48723.333333333333
2020-05-20T00:00:00-05:00,2020-05-20 05:00:00+00:00,2020-05-21T00:00:00-05:00,2020-05-21 05:00:00+00:00,47394.947916666667
2020-05-21T00:00:00-05:00,2020-05-21 05:00:00+00:00,2020-05-22T00:00:00-05:00,2020-05-22 05:00:00+00:00,46797.312500000000
2020-05-22T00:00:00-05:00,2020-05-22 05:00:00+00:00,2020-05-23T00:00:00-05:00,2020-05-23 05:00:00+00:00,49383.493055555556
2020-05-23T00:00:00-05:00,2020-05-23 05:00:00+00:00,2020-05-24T00:00:00-05:00,2020-05-24 05:00:00+00:00,47070.083333333333
2020-05-24T00:00:00-05:00,2020-05-24 05:00:00+00:00,2020-05-25T00:00:00-05:00,2020-05-25 05:00:00+00:00,42883.059027777778
2020-05-25T00:00:00-05:00,2020-05-25 05:00:00+00:00,2020-05-26T00:00:00-05:00,2020-05-26 05:00:00+00:00,37297.059027777778
